id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
143022333,3040269778288,"Găng tay giữ ấm mùa đông chống gió, kháng nước mưa Rhino G101 Bao tay thể thao cảm ứng điện thoại đi xe máy, xe đạp lót nỉ cho nam nữ, bảo hộ đi phượt Mỗi ngày vào mùa đông, đôi tay của chúng ta ti...",169000,200000,,31000.0,16.0,85.0,,available,,1000.0,1000.0,"Găng tay giữ ấm mùa đông chống gió, kháng nước mưa Rhino G101 Bao tay thể thao cảm ứng điện thoại đi xe máy, xe đạp lót nỉ cho nam nữ,  bảo hộ đi phượt",4664633.0,Rhino Store
172904600,6930019971591,Loại sản phẩm: Ống tay áo chống nắng cho nam/nữ kiểu dáng thể thaoLoại vải: Lụa băngGiới tính áp dụng: Unisex / UnisexỨng dụng: Chống nắng khi bạn chơi các môn thể thao/ giải trí ngoài trời như đi ...,45000,45000,,,,21.0,,available,,1000.0,1000.0,"Găng tay chống nắng thể thao cho nam nữ | Sport Sun Protection Sleeves - Thiết kế cá tính, mạnh mẽ",881579.0,Bigbull Shop
141232898,3172035986690,"Mắt kính kiểu dáng thời trang, sành điệu, độ sắc nét cao, là phụ kiện thời trang không thể thiếu trong bộ sưu tập thời trang của cả nam và nữ.Mẫu mã đa dạng, phong phú và rất hợp xu hướng thời trang...",50000,50000,,,,122.0,,out_of_stock,,,,"Kính mát nam, kính râm nam thời trang cho phái mạnh - KM47",111461.0,OEM
164021724,6635098671354,"        MÔ TẢ SẢN PHẨM   - Thương hiệu: AORON chính hãng   - Kiểu dáng kính: mắt tròn   - Dành cho: Nam và nữ   - Kích thước: 60-16-150mm   ️TÍNH NĂNG   ️ Giảm cường độ ánh sáng mặt trời,...",220000,320000,,100000.0,31.0,50.0,,available,,1000.0,1000.0,"Kính Mát Nam Nữ, Mắt Kính Phân Cực Thời Trang, Gọng Kính Vuông Magie AK010 - AORON",200799.0,AORON
56262919,1940367868396,"Thắt Lưng Nữ Nhỏ Xinh TL005 MayHomes, Dây Lưng Nữ, Dây Nịt Nữ Chất Liệu Da PU Khóa Kim Loại Bền ĐẹpMã sản phẩm: TL005- Tên sản phẩm: Thắt Lưng Nữ Nhỏ Xinh TL005 MayHomes, Dây Lưng Nữ, Dây Nịt Nữ Ch...",33600,35000,,1400.0,4.0,470.0,,available,,1000.0,1000.0,"Thắt Lưng Nữ Nhỏ Xinh TL005 MayHomes, Dây Lưng Nữ, Dây Nịt Nữ Chất Liệu Da PU Khóa Kim Loại Bền Đẹp",537679.0,MAYHOMES
41217788,9537187318969,"Combo nước rửa mắt kính và khăn lau kính là bộ sản phẩm tiện ích giúp làm sáng bóng bề mặt mắt kính của bạn, giúp bề mặt mắt kính luôn sáng bóng và không bị hạn chế tầm nhìn bởi bụi bẩn hay dấu vân ta...",30000,60000,,30000.0,50.0,220.0,,available,,1000.0,1000.0,Combo nước rửa kính và khăn lau kính (Tặng kèm bộ ốc vít),607493.0,CLEANER LENS
88792974,3755918004237,BỘ PHỤ KIỆN ĐI KÈM HẤP DẪNHộp đựng kính cứng cáp (Thiết Kế Gập tiện lợi)Khăn lau kính 100% Cotton (Loại dày cao cấp)Làm Mới Khuôn Mặt Với #Kính_Mắt Thiết Kế!Bạn có thể thấy các mẫu #Kính_Mắt thiết kế ...,650000,650000,,,,180.0,,available,,1000.0,1000.0,"Kính Mắt Chống Tia UV Từ Điện Thoại, Máy Tính, Chống Mỏi Mắt Gọng kính chính hãng SARIFA 9827 Nhiều Màu",537199.0,SARIFA
165602471,3456155251927,"Mô Tả Sản PhẩmCHE TÊN SẢN PHẨM KHI GIAO HÀNGTất Nữ, Combo 5 Đôi Tất Nữ Cổ Ngắn, Mẫu Tất Nữ Hình Gấu Nhiều Màu Dễ Thương Thời Trang Baw TN06(Được kiểm tra hàng trước khi thanh toán)Combo 5 màu n...",79000,99000,,20000.0,20.0,47.0,,available,,1000.0,1000.0,"Tất Nữ, Combo 5 Đôi Tất Nữ Cổ Ngắn, Mẫu Tất Nữ Hình Gấu Nhiều Màu Dễ Thương Thời Trang Baw TN06",4581269.0,Baw
43105935,8089823251549,"                                  Combo 10 đôi tất nữ cổ ngắn hình gấu với 10 màu sắc khác nhau chắc chắn sẽ cho bạn cảm giác tươi mới mỗi ngàyTất được sản xuất với chất liệu len dày dặn, ngăn mùi h...",42100,42100,,,,139.0,,available,,1000.0,1000.0,Combo 10 đôi tất nữ cổ ngắn hình gấu chống hôi chân - tặng túi,111461.0,OEM
33394879,7125741694202,"Bộ cột tóc gồm 100 dâyMix nhiều màu: xanh lơ, xanh đậm, hồng, tím, đTúi khóa đựng dễ thương như hình tiện lợi, kiểu dáng đơn giản, phù hợp với nhiều bạn....",19489,19489,,,,38.0,,available,,1000.0,1000.0,Set 100 dây cột tóc trơn kèm túi khóa đựng dễ thương,111461.0,OEM
112440908,7571619799129,CAM KẾT CỦA USARMY:BẢNG SIZE CHUẨN THEO SỐ ĐO NGƯỜI VIỆT NAM.HOÀN 100% GIÁ TRỊ ĐƠN HÀNG NẾU KHÔNG GIỐNG MÔ TẢHỖ TRỢ MIỄN PHÍ ĐỔI - TRẢ SẢN PHẨM MỌI TRƯỜNG HỢPTHÔNG TIN SẢN PHẨM:+ Tên sản phẩm: M...,109000,258000,,149000.0,58.0,25.0,,available,,1000.0,1000.0,"Mũ Lưỡi Trai Thời Trang Hàn Quốc U459 US ARMY, Chất liệu Kaki Cao Cấp Kiểu Dáng Nón Kết Vành Cong, Phong Cách Trẻ Trung, Năng Động-HÀNG CHÍNH HÃNG",5003355.0,US ARMY
273202672,7834932990024,"Mắt Kính, Cài Tóc Phong Cách Giáng Sinh Cho Người Lớn và Trẻ Em Đóng gói:  1 mắt kính hoặc cài tóc️ Tính năng Mắt kính, cài tóc là những phụ kiện không thể thiếu. Phiên bản giáng sinh với màu sắc và...",35000,35000,,,,,,available,,1000.0,1000.0,"Mắt Kính, Cài Tóc Phong Cách Giáng Sinh Cho Người Lớn và Trẻ Em",5706641.0,NAVIVU
90870485,7731201895766,       Thông tin sản phẩm:   -Mặt kính cắt đúng độ   -Kính có 2 màu đen và màu nâu chủ yếu màu đen(Loại nào hết màu đen shop giao màu nâu nên khách hàng cân nhắc hoặc có thể nt shop để chọn màu ...,45000,45000,,,,71.0,,available,,1000.0,1000.0,KÍNH LÃO GỌNG NHỰA CHUẨN ĐỘ FROM ĐẸP,111461.0,OEM
