id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
187636657,1100971819699,"Keo Dán Giày Đa Năng Dán Mọi Loại Giày, Chống ThấmĐẶC ĐIỂM NỔI BẬT- Đây là loại keo dán giày chuyên dụng rất dễ sử dụng, keo này dạng lỏng, sánh, nhanh khô, khi khô rất dai , độ đàn hồi rất tốt và bá...",45000,45000,,,,243.0,,available,,1000,1000,"Keo Dán Giày Đa Năng Dán Mọi Loại Giày, Chống Thấm",5063093.0,Jodily StarHome
273624233,7688552459272,"Đặc điểm nổi bậtBình giữ nhiệt Lock&Lock LHC4274 có 2 loại nắp:Nắp đậy trên cùng: nắp được tích hợp cùng tay cầm. Nắp có gioăng silicon giúp vặn kín, khít và chống rò rỉ nước tối đa. Tay cầm b...",275000,605000,,330000.0,55.0,287.0,,available,,1000,1000,Bình giữ nhiệt LocknLock Metro Two Way LHC4272/LHC4274 - Hàng chính hãng,48077.0,LocknLock
71178441,7933299170181,"Áo mưa là sản phẩm thông dụng, không thể thiếu khi mùa mưa đến, giúp bạn tránh những cơn mưa bất chợt, áo mưa được cắt may từ vải dù có độ bền cao hơn các loại vải khác.                              ...",115000,115000,,,,235.0,,available,,1000,1000,"Áo Mưa Bít Dù Trơn, Áo Mưa Kín Người Vải Dù Siêu Dày 1M4, Chống Thấm Hiệu Quả, Phù Hợp Nam Và Nữ, Có Túi Đựng, Có Lựa Chọn Màu Sắc",837855.0,XUDI
116819040,1580328299716,"THƯỚC DÂYThước Dây May Đồ là một loại dụng cụ để đo chiều dài, khoảng cách. Đây có thể xem là dụng cụ đo điển hình nhất trong các loại thiết bị đo lường. Với kiểu dáng nhỏ gọn, dễ dàng mang đi theo b...",7000,9999,,2999.0,30.0,21.0,,available,,1000,1000,"Thước Dây 1,5m - YOGA QG, Thước Dây May Má, Đo Chiều Cao Cho Bé, Đo Kích Thước Ba Vòng",5083311.0,YOGA QG
90531871,4758446326246,"  Đèn bàn không chỉ là một dụng cụ cần thiết cho việc học tập, cũng như làm việc của bạn mà còn là một vật trang trí không thể thiếu cho căn phòng của bạn. Đèn bàn Moontronics là một sản phẩm cao ...",159000,190000,,31000.0,16.0,1026.0,,available,,1000,1000,"Đèn Pixar, Đèn Bàn Học Chống Cận Thị, Đèn Đọc Sách, Đèn Làm Việc Bảo Vệ Mắt - Hàng Chính Hãng Moontronics",4251381.0,Moontronics
173211404,7514928433043,1.Thông tin sản phẩm:- Trọng lượng: 7.6kg - 9.1kg- Chất liệu: Phiên bản mới Chân ghế khung thép chắc chắn; Khung ghế nhựa  ABS; Thân ghế vải lưới siêu thoáng khí; Đệm ghế mút bọt biển êm ái- Màu sắ...,999000,1798200,,799200.0,44.0,651.0,,available,,1000,1000,"Ghế Xoay Văn Phòng Ngồi Làm Việc Công Thái Học Deli - Tay Gập Thông Minh, Có Ngả Lưng, Lưới Thoáng Khí, Chân Xoay Tiện Ích, Đệm Ghế Êm Aí - Phù Hợp Học Sinh, Văn Phòng, Game Thủ, Gaming - Hàng Chính Hãng - E4928 / E4929 / E4925 / E4926G",46703.0,Deli
3480627,9330774535233,"Đặc điểm nổi bậtBộ Cây Lau Nhà Xoay Tay Compact Spin Mop Lock&Lock ETM466: Thùng Giặt + Cây + Bông LauThùng chứa được làm bằng chất liệu nhựa PP cao cấp, chất lượng, có khả năng chịu được va đậ...",452000,924000,,472000.0,51.0,1295.0,,available,,1000,1000,Bộ Cây Lau Nhà Xoay Tay Compact Spin Mop Lock&Lock ETM466: Thùng Giặt + Cây + Bông Lau,48077.0,LocknLock
46202190,3178844847277,"Túi lưới giặt đồ cho máy giặt bảo vệ quần áo chống biến dạng chất lượng tốt dây kéo lưới mịn Polyester nhằm bảo vệ quần áo được làm từ tơ lụa, ren, len, thổ cẩm, lông thú, gấm, cotton, … tránh bị móc ...",58800,58800,,,,362.0,,available,,1000,1000,Combo nhiều túi lưới giặt đồ cho máy giặt bảo vệ quần áo chống biến dạng chất lượng tốt dây kéo lưới mịn Polyester,111461.0,OEM
120552065,9367707323552,"Chất liệu inox 304 an toàn tuyệt đối cho sức khỏeBình giữ nhiệt inox 304 Elmich EL-8013OL được làm bằng chất liệu inox 304 có khả năng chống ăn mòn tuyệt vời, bình giữ nhiệt Elmich EL-8013OL an toàn ...",161000,389000,,228000.0,59.0,229.0,,available,,1000,1000,Bình giữ nhiệt inox 304 Elmich EL-8013OL dung tích 480ml,31627.0,Elmich
253402833,2070610764177,"Móc gỗ treo tường Anzzar, móc treo quần áo, phụ kiện, giá gỗ treo quần áo-MT04 THÔNG SỐ:- Kích thước:+ size 1: 7 móc 46cmx15cm+ size 2: 8 móc 52cmx15cm+ size 3: 9 móc 58cmx15cm- Chất liệu: Gỗ t...",180000,180000,,,,4.0,,available,,1000,1000,"Móc gỗ treo tường Anzzar, móc treo quần áo, phụ kiện, giá gỗ treo quần áo-MT04",922811.0,anzzar
160549748,7322235220441,Đa chức năng lưu trữ: Tích hợp 9 đến 10 công dụng lưu trữ trong một sản phẩmDễ dàng lắp ráp mà không cần dụng cụ điệnChân của kệ gắn hít chân không chống trượt.Dễ dàng lắp ráp: Tháo lắp dễ dàng m...,1399000,2750000,,1351000.0,49.0,5.0,,available,,1000,1000,Kệ Để Trên Bồn Rửa Locknlock LDR209 (800x310x590 mm - Kích thước sau khi lắp ráp) - Màu Đen,48077.0,LocknLock
134844476,3935020416877,"Bộ đèn PHILIPS Âm Trần MESON G3 (594xx)Thiết kế cho không gian sống hiện đạiƯu điểm nổi bật: - Phân bố ánh sáng tối ưu - Tấm tán quang lớn giúp phân bố ánh sáng rộng hơn, giảm chói- Phù hợp cho mọi lo...",77600,122000,,44400.0,36.0,15.0,,available,,1000,1000,"Bộ đèn PHILIPS âm trần Meson G3 (594xxx)-Công suất (5W,6W,7W,9W,13W)",19018.0,Philips
20346270,6301980277043,Nồi áp suất inox 304 Elmich 20cm EL3369 (4L) được làm từ vật liệu inox 304 tuyệt đối an toàn cho sức khỏe.Cấu tạo đáy 3 lớp giúp truyền nhiệt đều.An toàn với cấu tạo 3 van bảo vệ.Tay cầm và quai ...,1265000,1518000,,253000.0,17.0,3.0,,available,,1000,1000,Nồi áp suất inox 304 Elmich 20cm EL3369 (4L) - Hàng Chính Hãng,31627.0,Elmich
57867024,5400823422204,Đặc điểm nổi bậtBộ Lau Nhà Xoay 360 Độ Sunhouse Ks-Cl350PO được thiết kế tiện dụng với thùng vắt làm bằng nhựa nguyên sinh PP siêu bền với màu cam bắt mắt. Kích thước phù hợp giúp bạn thoải mái giặ...,356000,513000,,157000.0,31.0,1192.0,,available,,1000,1000,Bộ Lau Nhà Xoay 360 Độ Sunhouse Ks-Cl350PO,41048.0,Sunhouse
122700651,3825108800822,"Cây lau kính, gạt chùi kính đa năng 2 đầu trong 1 - Parroti Shiny SN01 được thiết kế tinh tế, cán làm bằng nhôm cao cấp, có thể điều chỉnh độ dài linh hoạt phù hợp độ cao của cửa sổ. Cộng ...",139000,199000,,60000.0,30.0,595.0,,available,,1000,1000,"Cây lau kính, gạt chùi kính đa năng 2 đầu trong 1 - Parroti Shiny SN01",746615.0,Parroti
72652203,9481579402999,"Hộp đựng thức ăn cho bé Lock&Lock có vạch chia 230ml x 3 hộp LLG508S3 làm từ thủy tinh Borosilicate chịu nhiệt (từ -20 độ C lên đến 400℃), an toàn và đáng tin cậyHộp đựng thức ăn kín hơiThiết ...",350000,350000,,,,,,available,,1000,1000,Hộp đựng thức ăn cho bé Lock&Lock có vạch chia 230ml x 3 hộp LLG508S3,48077.0,LocknLock
146262084,8674391888050,Ngủ ngon và sâu hơn với sự nâng đỡ và thoáng mát từ Gối Memory Foam NOOZViệc dành 8 tiếng để ngủ trên một chiếc gối quá dày hoặc quá mỏng sẽ làm bạn cảm thấy mệt mỏi va...,339000,560000,,221000.0,39.0,681.0,,available,,1000,1000,Gối Ngủ Memory Foam NOOZ Ruột Gối Cao Su Non Giúp Nâng Đỡ Đốt Sống Cổ Chống Đau Vai Gáy Ngủ Sâu Hỗ Trợ Chống Trào Ngược Phù Hợp Với Mọi Tư Thế Nằm Vỏ Gối Tencel,3797113.0,NOOZ
21441057,9944927310617,"Chảo Chống Dính Đá Sunhouse SBD18 được tin dùng bởi công năng tuyệt vời, độ chống dính cao cùng với kết cấu bền chắc. Bề mặt phủ lớp đá Marble khiến cho tổng quan sản phẩm đẹp mắt, ấn tượng và nổi bật...",198000,260000,,62000.0,24.0,776.0,,available,,1000,1000,Chảo Chống Dính Đá Sunhouse SBD18 - 18cm,41048.0,Sunhouse
