id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
183051292,9089923559129,"CẢM ƠN QUÝ KHÁCH HÀNG ĐÃ TIN TƯỞNG VÀ SỬ DỤNG DỊCH VỤ CỦA SÀI GÒN BIKE MARTVề quy trình nhận xeSau khi đặt đơn hàng, sẽ có nhân viên liên hệ và hẹn quý khách ra hệ thống cửa hàng HEAD tại Bình Chán...",41490000,41490000,,,,,,available,,1000.0,1000.0,Xe Máy Honda Air Blade 125 Phiên Bản Tiêu Chuẩn 2023,152855,Honda
1389309,4939547745098,"Máy Bơm Ô tô, Xe hơi Đa Năng Michelin 12266- Hàng Chính Hãng có thiết kế hiện đại, nhỏ gọn, trọng lượng nhẹ, dễ dàng bỏ trong xe và dễ dàng sử dụng.Bơm hơi được thiết kế để bơm tất các các loại lốp...",1025000,1025000,,,,84.0,,available,,1000.0,1000.0,"Máy Bơm Ô tô, Xe hơi Đa Năng Michelin 12266 - Hàng Chính Hãng",150272,Michelin
892525,8925200074670,"Chai Xịt Chăm Sóc Và Bảo Vệ Nội Thất Ô Tô 3M 39040 giúp làm sạch sâu & bảo dưỡng các bề mặt da, nhựa, cao su bên trong nội thất xe hơi. Nhờ đó, mang lại vẻ ngoài sạch bóng và cảm giác êm ái như ...",315000,315000,,,,59.0,,available,,1000.0,1000.0,Chai Xịt Chăm Sóc Và Bảo Vệ Nội Thất Ô Tô 3M 39040 (473ml),63747,3M
28035643,8889163086722,Bạt Phủ Ô Tô Tráng Nhôm Phủ Nano Chống NắngBạt Trùm Xe Hơi Cách Nhiệt Cao CấpHàng Chính Hãng''QUÝ KHÁCH LƯU Ý XEM KỸ BẢNG SIZE TRƯỚC KHI ĐẶT HÀNG - TRÁNH NHẦM LẪN''Cuộc sống phát triển mỗi gia đì...,328000,520000,,192000.0,37.0,494.0,,available,,1000.0,1000.0,"Bạt Phủ Ô Tô Tráng Nhôm Phủ Nano Chống Nắng, Bạt Trùm Xe Hơi Cách Nhiệt Cao Cấp, Hàng Chính Hãng",456351,Amalife
77280988,1365195401103,"Tinh Dầu Vỏ Quế Treo Xe Ô Tô, Treo Tủ Quần Áo, Treo Phòng Gia Đình - Tinh Dầu Quế Nguyên Chất TIDAMO Giúp Khử Mùi, Kháng Khuẩn Và Thư Giãn Tinh ThầnDung tích: 8-10mlKhuếch tán hương thơm tinh dầu giúp...",58000,116000,,58000.0,50.0,76.0,,available,,1000.0,1000.0,"Tinh Dầu Vỏ Quế Nguyên Chất Treo Xe Ô Tô, Treo Tủ Quần Áo, Treo Phòng Gia Đình - Tinh Dầu Quế TIDAMO (Cinnamon) Cao Cấp Nhập Khẩu Giúp Khử Mùi, Kháng Khuẩn Và Thư Giãn Tinh Thần",4246951,TIDAMO Tinh Dầu Số 1
48122001,7298923443858,"Túi Treo xe máy, treo ghi đông xe máy tiện lợi cho anh em chạy grab hoặc tìm đường, xem bản đồĐặc biệt túi được thiết kế để đứng điện thoại phù hợp với map của các app công nghê grab,Thiết kế ...",77000,77000,,,,280.0,,available,,1000.0,1000.0,"Túi treo đầu xe máy mẫu đứng vải bố, túi ghi đông treo đầu xe máy cho Grap,Goviet, bê",111461,OEM
107234723,5921169492787,"Mũ bảo hiểm xe đạp trẻ em Protec SMILE W024, nón bảo hiểm siêu nhẹ, có đèn hậu an toàn, họa tiết đẹp, ấn tượng cho cả bé trai và bé gáiMŨ XE ĐẠP PROTEC CÓ THỂ DÙNG TRONG NHỮNG HOẠT ĐỘNG NÀO?Đạp xe...",338000,438000,,100000.0,23.0,71.0,,available,,1000.0,1000.0,"Mũ bảo hiểm xe đạp trẻ em Protec SMILE W024, nón bảo hiểm siêu nhẹ tiêu chuẩn Châu Âu, có đèn hậu an toàn, họa tiết đẹp, ấn tượng cho cả bé trai và bé gái",79830,Protec
44613386,2225497367520,...,47998,47998,,,,10.0,,available,,1000.0,1000.0,Khóa Xe Đạp Xe Máy 4 Số Chống Trộm Bọc Cáp (Đen),111461,OEM
187642488,3322731316732,"Mũ bảo hiểm nửa đầu có họa tiết SRT ASA 05 kèm kính phi công, kính UV thời trang, cá tính - Hàng chính hãngđược thiết kế năng động trẻ trung, chắc chắn và bền bỉ, đem lại cảm giác thoải mái an toàn c...",145000,260000,,115000.0,44.0,84.0,,available,,1000.0,1000.0,"Mũ bảo hiểm nửa đầu có họa tiết SRT ASA 05 kèm kính phi công, kính UV thời trang, cá tính- Hàng chính hãng",699097,SRT
225171842,8173287924690,"Máy Bơm Ô tô, Xe hơi Đa Năng Michelin 12266- Hàng Chính Hãng có thiết kế hiện đại, nhỏ gọn, trọng lượng nhẹ, dễ dàng bỏ trong xe và dễ dàng sử dụng.Bơm hơi được thiết kế để bơm tất các các loại lốp x...",981000,981000,,,,107.0,,available,,1000.0,1000.0,"Máy Bơm Ô tô, Xe hơi Đa Năng Michelin 12266 - Hàng Chính Hãng",150272,Michelin
